conceptType,conceptUri,preferredLabel,status,altLabels,description,broaderConceptUri,broaderConceptPT
Occupation,http://data.europa.eu/esco/occupation/11b6390b-1e48-4903-a5df-d3e04b451a19,kosmetiikkakemisti,released,tutkimuskemisti | kosmeettinen kemisti | tuotekehityskemisti,"Kosmetiikkakemistit kehittävät reseptejä, joilla voidaan luoda ja kehittää uusia ja parantaa nykyisiä kosmetiikkatuotteita, kuten hajuvesiä ja tuoksuja, huulipunia, vedenkestäviä voiteita ja meikkejä, hiusvärejä, saippuoita ja pesuaineita, joilla on erikoisominaisuuksia, paikallisesti käytettäviä lääkkeitä tai ravintolisiä.",http://data.europa.eu/esco/occupation/0d93706d-32fd-4de3-aa08-be1003e325da,kemisti
Occupation,http://data.europa.eu/esco/occupation/11d72bd6-779a-4643-9962-313833740094,ympäristötutkija,released,ympäristökemisti,"Ympäristötutkijat tunnistavat ongelmia ja etsivät niihin ratkaisuja minimoidakseen ympäristölle aiheutuvat vaarat analysoimalla esimerkiksi ilmasta, vedestä tai maaperästä otettuja näytteitä. He antavat neuvoja ympäristöpolitiikasta tai kehittävät sitä ja pyrkivät parantamaan vesihuolto- ja jätehuoltolaitosten toimintaa. Ympäristötutkijat tekevät ympäristövaarojen arviointeja ja analysoivat uusien ratkaisujen, rakennustyömaiden tai ympäristömuutosten aiheuttamia ympäristövaikutuksia. Lisäksi he varmistavat, että ympäristösäädöksiä noudatetaan.",http://data.europa.eu/esco/isco/C2133,Ympäristön- ja luonnonsuojelun erityisasiantuntijat
Occupation,http://data.europa.eu/esco/occupation/11df8941-508c-4103-ad40-52cdf9430a59,sosiologi,released,,"Sosiologit keskittyvät tutkimaan sosiaalista käyttäytymistä ja sitä, miten ihmiset ovat järjestäytyneet yhteiskunnaksi. He tutkivat ja selittävät yhteiskuntien kehittymistä kuvaamalla niiden oikeudellisia, poliittisia ja taloudellisia järjestelmiä sekä niiden kulttuurisia ilmentymiä.",http://data.europa.eu/esco/isco/C2632,Yhteiskunta- ja kulttuuritutkijat
Occupation,http://data.europa.eu/esco/occupation/1738173e-ef9c-4222-88c8-b6aa9bad3cf7,biofyysikko,released,bioteknikko,"Biofyysikot tutkivat elävien organismien ja fysiikan välistä suhdetta. He tekevät eläviin organismeihin kohdistuvaa tutkimusta, joka perustuu fysiikan menetelmiin. Tällaisen tutkimuksen tarkoituksena on selittää elämän monimuotoisuutta, ennakoida malleja ja tehdä johtopäätöksiä elämän eri osa-alueista. Biofyysikoiden tutkimusalueita ovat DNA, proteiinit, molekyylit, solut ja ympäristöt.",http://data.europa.eu/esco/occupation/eee68e13-8248-43bb-a9fb-959832a6c217,biologi
Occupation,http://data.europa.eu/esco/occupation/19db5ad1-ffbf-41a0-8746-d3878f0d5dbd,mediatutkija,released,,"Mediatutkijat tutkivat tiedotusvälineiden roolia ja vaikutuksia yhteiskunnassa. He tarkkailevat ja dokumentoivat erilaisten viestimien, kuten sanomalehtien, radion ja television, käyttöä sekä yhteiskunnan reaktioita.",http://data.europa.eu/esco/occupation/acf69cab-8629-45c8-ae10-c8fb15f474b6,antropologi
Occupation,http://data.europa.eu/esco/occupation/1bbaf82c-67ae-4beb-9a55-7298acf5b2af,"lehtori, hoitotyö",released,"opettaja, hoitotyö | professori, hoitotyö","Hoitotyön lehtorit ovat yleensä professoreita, opettajia tai lehtoreita, ja usein lääkäreitä, jotka ovat suorittaneet ylemmän toisen asteen tutkinnon omalla erikoisalallaan eli hoitotyössä, ja he antavat opetusta, joka on pääasiassa akateemista. He tekevät yhteistyötä tutkimusavustajien ja yliopiston opetusassistenttien kanssa luentojen ja tenttien valmistelemisessa, seminaaritöiden ja tenttien arvioinnissa, laboratorioharjoitusten ohjaamisessa sekä opiskelijoiden arviointi- ja palautetilaisuuksien järjestämisessä. He tekevät myös akateemista tutkimusta omalla hoitotyön erikoisalallaan, julkaisevat havaintojaan ja tekevät yhteistyötä muiden yliopistokollegojen kanssa.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,"lehtori, yliopistot ja korkeakoulut"
Occupation,http://data.europa.eu/esco/occupation/1c862e14-80f8-4aa8-8f1c-fd2ca95b63ad,meteorologi,released,ilmatieteilijä | säätieteilijä,"Meteorologit tutkivat ilmastoprosesseja, mittaavat ja ennustavat sääolosuhteita ja tarjoavat konsultointipalveluja erilaisille säätietojen käyttäjille. He tekevät sääennusteen laatimisessa käytettäviä malleja, kehittävät välineitä, joilla kerätään säätietoja, ja kokoavat tilastoja ja tietokantoja.",http://data.europa.eu/esco/isco/C2112,Meteorologit
Occupation,http://data.europa.eu/esco/occupation/2026adb2-62d7-4b92-9ccb-105abdebe37d,"insinööri, sähkömagnetiikka",released,,"Sähkömagneetiikan insinöörit suunnittelevat ja kehittävät sähkömagneettisia järjestelmiä, laitteita ja komponentteja, joita ovat esimerkiksi kaiuttimissa oleva sähkömagneetit, sähkömagneettiset lukot, magneettikuvauslaitteissa olevat suprajohtavat magneetit ja sähkömoottoreissa olevat magneetit.",http://data.europa.eu/esco/occupation/86ca306c-ab99-420a-9e2a-aa73c5c4de22,sähköinsinööri
Occupation,http://data.europa.eu/esco/occupation/203ea2ee-bbee-4aaf-83d7-2f2225f916e3,arkeologi,released,meriarkeologi | muinaistutkija,"Arkeologit tutkivat menneitä sivilisaatioita ja asuinalueita keräämällä ja tutkimalla materiaalien jäänteitä. He analysoivat monia eri aiheita, kuten hierarkiajärjestelmiä, lingvistiikkaa, kulttuuria ja politiikkaa, ja tekevät niistä päätelmiä, jotka perustuvat kansoilta jääneiden esineiden, rakenteiden, fossiileiden, jäänteiden ja artefaktien tutkimukseen. Arkeologit käyttävät erilaisia monitieteellisiä menetelmiä, kuten stratigrafiaa, typologiaa, 3D-analyysia, matematiikkaa ja mallintamista.",http://data.europa.eu/esco/isco/C2632,Yhteiskunta- ja kulttuuritutkijat
Occupation,http://data.europa.eu/esco/occupation/25829508-63f3-41c3-affc-ddbb5c077930,fysiologi,released,fysiologian tutkija,"Fysiologi opiskelevat ja tutkivat erilaisten elävien organismien toimintaa, sitä, mistä ne koostuvat ja niiden vuorovaikutusta. He ymmärtävät, millä tavalla eloperäiset järjestelmät reagoivat sairauksien, liikunnan ja stressin kaltaisiin tekijöihin, ja hyödyntävät näitä tietoja kehittääkseen menetelmiä ja ratkaisuja, joilla voidaan tasoittaa niitä vaikutuksia, joita näillä ärsykkeillä on eläviin organismeihin.",http://data.europa.eu/esco/occupation/eee68e13-8248-43bb-a9fb-959832a6c217,biologi
Occupation,http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,datatutkija,released,datatutkijat | hakutietotutkija | hakutietotutkijat,"Datatutkijat etsivät ja tulkitsevat runsaita tietolähteitä, hallinnoivat suuria tietomääriä, yhdistävät tiedonlähteitä, varmistavat tietoaineistojen yhdenmukaisuuden ja luovat visualisointeja tietojen ymmärtämisen tueksi. He laativat matemaattisia malleja käyttäen tietoja, esittelevät ja välittävät tietoa ja löydöksiä tiiminsä asiantuntijoille ja tutkijoille ja tarvittaessa muille kuin asiantuntijoille sekä suosittelevat tietojen soveltamistapoja.",http://data.europa.eu/esco/isco/C2511,Sovellusarkkitehdit
Occupation,http://data.europa.eu/esco/occupation/30058b71-fe16-45ea-a2b8-d5461c706372,liiketalouden lehtori,released,liiketalouden professori | liiketalouden opettaja,"Liiketalouden lehtorit ovat yleensä professoreita, opettajia tai lehtoreita, jotka ovat suorittaneet ylemmän toisen asteen tutkinnon omalla erikoisalallaan eli liiketaloudessa, ja he antavat opetusta, joka on pääasiassa akateemista. He tekevät yhteistyötä tutkimusavustajien ja yliopiston opetusassistenttien kanssa luentojen ja tenttien valmistelemisessa, seminaaritöiden ja tenttien arvioinnissa sekä opiskelijoiden arviointi- ja palautetilaisuuksien järjestämisessä. He tekevät myös akateemista tutkimusta omalla liiketalouden erikoisalallaan, julkaisevat havaintojaan ja tekevät yhteistyötä muiden yliopistokollegojen kanssa.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,"lehtori, yliopistot ja korkeakoulut"
Occupation,http://data.europa.eu/esco/occupation/306e9867-cf55-446f-88c6-8adad5369f8c,geotieteen lehtori,released,geotieteen opettaja | geotieteen professori,"Geotieteen lehtorit ovat professoreja, opettajia tai lehtoreita, jotka ovat suorittaneet ylemmän toisen asteen tutkinnon omalla erikoisalallaan eli geotieteessä, ja he antavat opetusta, joka on pääasiassa akateemista. He tekevät yhteistyötä tutkimusavustajien ja yliopiston opetusassistenttien kanssa luentojen ja tenttien valmistelemisessa, seminaaritöiden ja tenttien arvioinnissa sekä opiskelijoiden arviointi- ja palautetilaisuuksien järjestämisessä. He tekevät myös akateemista tutkimusta omalla geotieteen erikoisalallaan, julkaisevat havaintojaan ja tekevät yhteistyötä muiden yliopistokollegojen kanssa.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,"lehtori, yliopistot ja korkeakoulut"
Occupation,http://data.europa.eu/esco/occupation/35d41f4f-334b-452e-9e31-99f376302493,"insinööri, optoelektroniikka",released,,"Optoelektroniikan insinöörit suunnittelevat ja kehittävät optoelektronisia järjestelmiä ja laitteita, kuten UV-antureita, valodiodeja ja ledejä. Optoelektronisessa tekniikassa yhdistetään optinen tekniikka ja sähkötekniikka näiden järjestelmien ja laitteiden suunnitteluun. He tekevät tutkimusta ja analyyseja sekä testaavat laitteita ja ohjaavat tutkimusta.",http://data.europa.eu/esco/occupation/4d34a9ee-2653-4da0-bef7-f59294577224,elektroniikkainsinööri
Occupation,http://data.europa.eu/esco/occupation/3af4d6be-90b5-41f6-be06-3330dab3df73,sosiaalityön tutkija,released,,"Sosiaalityön tutkijat vastaavat tutkimushankkeista, joiden tavoitteena on tutkia ja laatia selvityksiä sosiaalisista kysymyksistä. He keräävät ensin tietoa haastatteluilla, kohderyhmillä ja kyselytutkimuksilla. Sen jälkeen he järjestävät j analysoivat kerätyt tiedot tietokoneohjelmistoilla. He analysoivat sosiaalisia ongelmia ja tarpeita sekä erilaisia tapoja ja tekniikoita, joilla niihin voidaan vastata.",http://data.europa.eu/esco/occupation/11df8941-508c-4103-ad40-52cdf9430a59,sosiologi
Occupation,http://data.europa.eu/esco/occupation/3c305542-a51b-4b96-8d45-af11ca05eaa2,eläinlääketieteen lehtori,released,eläinlääketieteen opettaja | eläinlääketieteen tohtori,"Eläinlääketieteen lehtorit ovat professoreita, opettajia tai lehtoreita, ja usein lääkäreitä, jotka ovat suorittaneet ylemmän toisen asteen tutkinnon omassa erikoisalallaan eli eläinlääketieteessä, ja he antavat opetusta, joka on pääasiassa akateemista. He tekevät yhteistyötä tutkimusavustajien ja yliopiston opetusassistenttien kanssa luentojen ja tenttien valmistelemisessa, seminaaritöiden ja tenttien arvioinnissa, laboratorioharjoitusten ohjaamisessa sekä opiskelijoiden arviointi- ja palautetilaisuuksien järjestämisessä. He tekevät myös akateemista tutkimusta omalla eläinlääketieteen erikoisalallaan, julkaisevat havaintojaan ja tekevät yhteistyötä muiden yliopistokollegojen kanssa.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,"lehtori, yliopistot ja korkeakoulut"
Occupation,http://data.europa.eu/esco/occupation/3d7a1284-824c-47d9-8387-b8e1cd5888b5,hammaslääketieteen lehtori,released,hammaslääketieteen opettaja | hammaslääketieteen professori,"Hammaslääketieteen lehtorit ovat yleensä professoreita, opettajia tai lehtoreita, ja usein lääkäreitä, jotka ovat suorittaneet ylemmän toisen asteen tutkinnon omalla erikoisalallaan eli hammaslääketieteessä, ja he antavat opetusta, joka on pääasiassa akateemista. He tekevät yhteistyötä tutkimusavustajien ja yliopiston opetusassistenttien kanssa luentojen ja tenttien valmistelemisessa, seminaaritöiden ja tenttien arvioinnissa, laboratorioharjoitusten ohjaamisessa sekä opiskelijoiden arviointi- ja palautetilaisuuksien järjestämisessä. He tekevät myös akateemista tutkimusta omalla hammaslääketieteen erikoisalallaan, julkaisevat havaintojaan ja tekevät yhteistyötä muiden yliopistokollegojen kanssa.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,"lehtori, yliopistot ja korkeakoulut"
Occupation,http://data.europa.eu/esco/occupation/3dbd758c-6dc0-41fe-8248-2250c9bfa4ab,klimatologi,released,ilmastotieteilijä | ilmatieteilijä | ilmastotutkija,"Klimatologit tutkivat sään ja ilmaston keskimääräistä muutosta pitkällä aikavälillä. He tutkivat ja analysoivat historiallisia sääoloja, jotta he voivat tehdä ennusteita ilmasto-olojen suuntauksista, kuten lämpötilan muutoksista, ilmaston lämpenemisestä tai alueellisesti kehittyvistä sääoloista. He hyödyntävät näitä havaintoja ympäristöpolitiikkaa, rakentamista, maataloushankkeita ja yhteiskunnallisia kysymyksiä koskevassa neuvonnassa.",http://data.europa.eu/esco/occupation/1c862e14-80f8-4aa8-8f1c-fd2ca95b63ad,meteorologi
Occupation,http://data.europa.eu/esco/occupation/3f7b7ce5-94b6-4e0c-98e7-a4ee5a6accf4,toksikologi,released,toksikologian tutkija,"Toksikologit tutkivat vaikutuksia, joita kemiallisilla aineilla tai biologisilla ja fysikaalisilla aineilla on eläviin organismeihin, ja etenkin ympäristöön sekä eläinten ja ihmisten terveyteen. He määrittävät, minkä suuruiselle annokselle altistuminen aiheuttaa myrkyllisiä vaikutuksia ympäristöön, ihmisiin ja eläviin organismeihin. He tekevät myös kokeita eläimillä ja soluviljelmillä.",http://data.europa.eu/esco/occupation/eee68e13-8248-43bb-a9fb-959832a6c217,biologi
Occupation,http://data.europa.eu/esco/occupation/441a5b76-2f51-4704-9df7-3b8e715dd3ad,käyttäytymistieteilijä,released,,"Käyttäytymistieteilijät tutkivat, havainnoivat ja kuvaavat ihmisten käyttäytymisestä yhteiskunnassa. He tekevät päätelmiä motiiveista, jotka saavat ihmiset toimimaan, tarkkailevat erilaisten käyttäytymismallien olosuhteita ja kuvaavat erilaisia persoonallisuustyyppejä. He neuvovat järjestöjä ja hallintoelimiä tällä alalla. He voivat myös analysoida eläinten käyttäytymistä.",http://data.europa.eu/esco/isco/C2632,Yhteiskunta- ja kulttuuritutkijat
Occupation,http://data.europa.eu/esco/occupation/479ede81-bd51-4f3b-9d30-4910699fd211,journalismin lehtori,released,journalismin professori | journalistiikan opettaja | journalismin opettaja | mediatutkimuksen opettaja | mediatutkimuksen lehtori | journalistiikan professori | journalistiikan lehtori,"Journalismin lehtorit ovat yleensä professoreita, opettajia tai lehtoreita, jotka ovat suorittaneet ylemmän toisen asteen tutkinnon omalla erikoisalallaan eli journalismin ja median alalla, ja he antavat opetusta, joka on pääasiassa akateemista. He työskentelevät yliopistojen tutkimusavustajina ja korkeakoulujen opetusavustajina luentojen ja tenttien valmistelussa, kokeissa ja kokeissa sekä opiskelijoiden johtamisessa läpikäymiseen ja palautejaksojen järjestämiseen. He tekevät myös akateemista tutkimusta omalla erikoisalallaan (journalismi ja media), julkaisevat havaintojaan ja tekevät yhteistyötä muiden yliopistokollegojen kanssa.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,"lehtori, yliopistot ja korkeakoulut"
Occupation,http://data.europa.eu/esco/occupation/49023c69-302f-4671-b26f-7229d1a53915,viestinnän lehtori,released,viestinnän professori | viestinnän opettaja,"Viestinnän lehtorit ovat yleensä professoreita, opettajia tai lehtoreita, jotka ovat suorittaneet ylemmän toisen asteen tutkinnon omalla erikoisalallaan eli viestinnässä, ja he antavat opetusta, joka on pääasiassa akateemista. He tekevät yhteistyötä tutkimusavustajien ja yliopiston opetusassistenttien kanssa luentojen ja tenttien valmistelemisessa, seminaaritöiden ja tenttien arvioinnissa sekä opiskelijoiden arviointi- ja palautetilaisuuksien järjestämisessä. He tekevät myös akateemista tutkimusta omalla viestinnän erikoisalallaan, julkaisevat havaintojaan ja tekevät yhteistyötä muiden yliopistokollegojen kanssa.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,"lehtori, yliopistot ja korkeakoulut"
Occupation,http://data.europa.eu/esco/occupation/4b759f0e-8fec-4cf5-80d4-d112a9fd4e51,merentutkija,released,merigeologi | mertentutkija | meribiologi | valtameritutkija,"Merentutkijat tarkkailevat ja tutkivat meriin ja valtameriin liittyviä asioita. Merentutkijoiden asiantuntemus jaetaan eri tutkimushaaroihin, jotka ovat fysikaalinen merentutkimus (aallot ja vuorovesi), kemiallinen merentutkimus (merivesien kemiallinen koostumus) ja geologinen merentutkimus (merenpohjat ja niiden alla olevat laatat).
   ",http://data.europa.eu/esco/occupation/c6196b21-20f9-4608-83fb-6f143afc740d,geologi
Occupation,http://data.europa.eu/esco/occupation/4e8a5d3e-66de-4661-9927-ef3123cc79e9,arkkitehtuurin lehtori,released,arkkitehtuurin opettaja | arkkitehtuurin professori,"Arkkitehtuurin lehtorit ovat yleensä professoreita, opettajia tai lehtoreita, jotka ovat suorittaneet ylemmän toisen asteen tutkinnon omalla erikoisalallaan eli arkkitehtuurissa, ja he antavat opetusta, joka on pääasiassa akateemista. He tekevät yhteistyötä tutkimusavustajien ja yliopiston opetusassistenttien kanssa luentojen ja tenttien valmistelemisessa, seminaaritöiden ja tenttien arvioinnissa sekä opiskelijoiden arviointi- ja palautetilaisuuksien järjestämisessä. He tekevät myös akateemista tutkimusta omalla arkkitehtuurin erikoisalallaan, julkaisevat havaintojaan ja tekevät yhteistyötä muiden yliopistokollegojen kanssa.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,"lehtori, yliopistot ja korkeakoulut"
Occupation,http://data.europa.eu/esco/occupation/4f4d33a1-0b41-4dd9-8a42-aeba5a3974ab,"insinööri, sensoritekniikka",released,,"Sensoritekniikkaan erikoistuneet insinöörit suunnittelevat ja kehittävät sensoreita, sensorijärjestelmiä ja tuotteita, jotka on varustettu sensoreilla. He suunnittelevat ja valvovat näiden tuotteiden valmistusta.",http://data.europa.eu/esco/occupation/4d34a9ee-2653-4da0-bef7-f59294577224,elektroniikkainsinööri
Occupation,http://data.europa.eu/esco/occupation/4f89b0d2-b666-4890-af01-25d1d60da1f3,politiikan tutkija,released,"tutkija, politiikka | valtiotieteilijä","Politiikan tutkijat tutkivat poliittista käyttäytymistä, toimintaa ja järjestelmiä, mukaan lukien niihin sisältyvät elementit. Kenttätutkimukset ulottuvat eri poliittisten järjestelmien alkuperästä ja kehityksestä ajankohtaisiin kysymyksiin, kuten päätöksentekoprosesseihin, poliittiseen käyttäytymiseen, poliittisiin suuntauksiin, yhteiskuntaan ja valtasuhteisiin. He neuvovat hallituksia ja institutionaalisia organisaatioita hallintoasioissa.",http://data.europa.eu/esco/isco/C2633,"Historioitsijat, politiikan tutkijat ja filosofit"
Occupation,http://data.europa.eu/esco/occupation/52ded7d7-11df-42e3-b90a-d7f4b70fb4b9,psykologi,released,,"Psykologit tutkivat ihmisten käyttäytymistä ja henkisiä prosesseja. He tarjoavat palveluja asiakkaille, joilla on mielenterveysongelmia ja vaikeita elämäntilanteita, kuten surua, parisuhdeongelmia, perheväkivaltaa ja seksuaalista hyväksikäyttöä. He antavat myös neuvontaa mielenterveysongelmista, kuten syömishäiriöistä, traumaperäisistä stressihäiriöistä ja psykoosista, jotta asiakkaat voivat kuntoutua ja oppia terveellisiä käyttäytymismalleja.",http://data.europa.eu/esco/isco/C2634,Psykologit
Occupation,http://data.europa.eu/esco/occupation/55167849-82cf-484e-b818-fa702a4e69e9,hydrologi,released,hydrobiologi,"Hydrologit tutkivat ja opiskelevat maapallolla olevan veden laatua sekä veteen liittyviä nykyisiä haasteita ja sen jakelua. He tutkivat joista, virroista ja lähteistä saatavaa vettä, jotta voidaan selvittää, miten niitä voidaan käyttää asianmukaisesti ja kestävästi. Yhdessä moniammatillisen työryhmän kanssa he suunnittelevat ja kehittävät veden jakelua kaupungeille ja kaupunkialueille siten, että samalla voidaan varmistaa tehokkuus ja luonnonvarojen säilyttäminen.",http://data.europa.eu/esco/occupation/c6196b21-20f9-4608-83fb-6f143afc740d,geologi
Occupation,http://data.europa.eu/esco/occupation/557f9ccc-4e46-4bb2-8d20-272cd978b152,eläinlääketieteen tutkija,released,,"Eläinlääketieteen tutkijat kehittävät ja tutkivat eläinmalleja, vertailevat eläinten perusbiologiaa ja soveltavat tutkimustuloksia, jotta niitä voidaan käyttää eri lajien, myös ihmisten, hyväksi.",http://data.europa.eu/esco/isco/C2250,Eläinlääkärit
